"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2026年06月19日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101","","A2301","","B1101","","B1106","","C120110","","C210715","","C3101","","C3107","","C3401","","D2201","","H6133","","I5101","","#A03506","","#A05101","","#F01201","","#I0910103",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A2301_住民基本台帳人口（総数）【人】","注釈","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","注釈","B1106_森林面積【ｈａ】","注釈","C120110_課税対象所得【千円】","注釈","C210715_事業所数（小売業）【所】","注釈","C3101_農業産出額【百万円】","注釈","C3107_耕地面積【ｈａ】","注釈","C3401_製造品出荷額等【百万円】","注釈","D2201_財政力指数（市町村財政）【‐】","注釈","H6133_百貨店、総合スーパー数【事業所】","注釈","I5101_病院数【施設】","注釈","#A03506_65歳以上人口割合【％】","注釈","#A05101_人口増減率【％】","注釈","#F01201_第1次産業就業者比率【％】","注釈","#I0910103_一般病院数（人口10万人当たり）【施設】","注釈"
"2023100000","2023年度","43369","熊本県 和水町","","***","","9,104","","9,878","","***","","9,581,315","","***","","***","","1,920","","30,280","","***","","***","","1","","***","","***","","***","","***",""
"2023100000","2023年度","43403","熊本県 大津町","","***","","36,013","","9,910","","***","","54,088,742","","***","","***","","2,160","","316,855","","***","","***","","1","","***","","***","","***","","***",""
"2023100000","2023年度","43404","熊本県 菊陽町","","***","","43,915","","3,746","","***","","74,472,670","","***","","***","","1,340","","212,319","","***","","***","","5","","***","","***","","***","","***",""
"2023100000","2023年度","43423","熊本県 南小国町","","***","","3,875","","11,590","","***","","3,858,222","","***","","***","","830","","1,014","","***","","***","","0","","***","","***","","***","","***",""
"2023100000","2023年度","43424","熊本県 小国町","","***","","6,465","","13,694","","***","","6,767,558","","***","","***","","1,210","","2,830","","***","","***","","1","","***","","***","","***","","***",""
"2023100000","2023年度","43425","熊本県 産山村","","***","","1,395","","6,081","","***","","1,245,567","","***","","***","","841","","0","","***","","***","","0","","***","","***","","***","","***",""
"2023100000","2023年度","43428","熊本県 高森町","","***","","5,934","","17,506","","***","","5,754,522","","***","","***","","2,180","","10,800","","***","","***","","0","","***","","***","","***","","***",""
"2023100000","2023年度","43432","熊本県 西原村","","***","","6,955","","7,722","","***","","8,598,271","","***","","***","","1,030","","58,152","","***","","***","","0","","***","","***","","***","","***",""
"2023100000","2023年度","43433","熊本県 南阿蘇村","","***","","10,115","","13,732","","***","","10,294,673","","***","","***","","3,150","","5,957","","***","","***","","1","","***","","***","","***","","***",""
"2023100000","2023年度","43441","熊本県 御船町","","***","","17,235","","9,903","","***","","19,013,879","","***","","***","","1,270","","14,207","","***","","***","","1","","***","","***","","***","","***",""
"2023100000","2023年度","43442","熊本県 嘉島町","","***","","10,159","","1,665","","***","","14,227,892","","***","","***","","757","","50,960","","***","","***","","2","","***","","***","","***","","***",""
"2023100000","2023年度","43443","熊本県 益城町","","***","","34,041","","6,568","","***","","41,257,425","","***","","***","","2,120","","87,766","","***","","***","","3","","***","","***","","***","","***",""
"2023100000","2023年度","43444","熊本県 甲佐町","","***","","10,146","","5,793","","***","","9,944,332","","***","","***","","1,190","","12,323","","***","","***","","2","","***","","***","","***","","***",""
"2023100000","2023年度","43447","熊本県 山都町","","***","","13,272","","54,467","","***","","12,023,460","","***","","***","","4,820","","7,625","","***","","***","","4","","***","","***","","***","","***",""
"2023100000","2023年度","43468","熊本県 氷川町","","***","","10,944","","3,336","","***","","12,016,128","","***","","***","","1,510","","691","","***","","***","","1","","***","","***","","***","","***",""
"2023100000","2023年度","43482","熊本県 芦北町","","***","","15,284","","23,401","","***","","14,688,628","","***","","***","","1,430","","20,063","","***","","***","","3","","***","","***","","***","","***",""
"2023100000","2023年度","43484","熊本県 津奈木町","","***","","4,216","","3,408","","***","","3,778,330","","***","","***","","270","","3,149","","***","","***","","0","","***","","***","","***","","***",""
"2023100000","2023年度","43501","熊本県 錦町","","***","","10,223","","8,504","","***","","11,191,369","","***","","***","","1,550","","43,754","","***","","***","","0","","***","","***","","***","","***",""
"2023100000","2023年度","43505","熊本県 多良木町","","***","","8,554","","16,586","","***","","10,118,428","","***","","***","","1,630","","5,783","","***","","***","","1","","***","","***","","***","","***",""
"2023100000","2023年度","43506","熊本県 湯前町","","***","","3,522","","4,837","","***","","3,364,794","","***","","***","","557","","2,667","","***","","***","","0","","***","","***","","***","","***",""
